단어	빈도	백분율
========================================
  1. 연기               1,129 ( 0.83%)
  2. 최고               1,059 ( 0.78%)
  3. 스토리                914 ( 0.67%)
  4. 생각                 886 ( 0.65%)
  5. 감동                 858 ( 0.63%)
  6. 드라마                855 ( 0.63%)
  7. 사람                 852 ( 0.62%)
  8. 보고                 845 ( 0.62%)
  9. 하는                 822 ( 0.60%)
 10. 감독                 728 ( 0.53%)
 11. 재미                 717 ( 0.53%)
 12. 시간                 714 ( 0.52%)
 13. 내용                 673 ( 0.49%)
 14. 배우                 656 ( 0.48%)
 15. 이런                 640 ( 0.47%)
 16. 없는                 606 ( 0.44%)
 17. 쓰레기                585 ( 0.43%)
 18. 작품                 550 ( 0.40%)
 19. 하나                 540 ( 0.40%)
 20. 다시                 508 ( 0.37%)
 21. 사랑                 498 ( 0.37%)
 22. 봤는데                484 ( 0.35%)
 23. 이건                 480 ( 0.35%)
 24. 정도                 469 ( 0.34%)
 25. 마지막                464 ( 0.34%)
 26. 같은                 450 ( 0.33%)
 27. 있는                 440 ( 0.32%)
 28. 액션                 438 ( 0.32%)
 29. 좋은                 434 ( 0.32%)
 30. 최악                 419 ( 0.31%)
 31. 입니다                416 ( 0.30%)
 32. 처음                 411 ( 0.30%)
 33. 보는                 406 ( 0.30%)
 34. 지금                 398 ( 0.29%)
 35. 장면                 394 ( 0.29%)
 36. 주인공                393 ( 0.29%)
 37. 느낌                 387 ( 0.28%)
 38. 역시                 383 ( 0.28%)
 39. 연출                 382 ( 0.28%)
 40. 봐도                 382 ( 0.28%)
