movie_title,release_year,review_text,rating,sentiment,source
고질라 VS. 콩,2021,시리즈 중 가장 시원한 괴수 대결이라 극장에서 보는 재미가 컸다,10,positive,Public review example snapshot
고질라 VS. 콩,2021,액션은 강하지만 인물 서사가 얕아서 금방 잊히는 느낌이었다,3,negative,Public review example snapshot
고질라 VS. 콩,2021,괴수들이 부딪히는 장면마다 스트레스가 풀리고 화면이 화려했다,9,positive,Public review example snapshot
고질라 VS. 콩,2021,이야기보다 소음과 효과에만 기대는 장면이 많아 아쉬웠다,2,negative,Public review example snapshot
고질라 VS. 콩,2021,포디로 보면 장점이 살아나는 오락 영화였다,8,positive,Public review example snapshot
고질라 VS. 콩,2021,개연성은 약하고 캐릭터 감정선이 거의 남지 않았다,3,negative,Public review example snapshot
인턴,2015,따뜻하고 편안한 영화라 보고 나면 마음이 부드러워진다,10,positive,Public review example snapshot
인턴,2015,로버트 드니로의 표정과 말투가 영화 전체를 안정적으로 끌고 간다,9,positive,Public review example snapshot
인턴,2015,착한 분위기는 좋지만 갈등이 너무 쉽게 풀려 밋밋했다,4,negative,Public review example snapshot
인턴,2015,일과 관계를 바라보는 시선이 건강해서 다시 보고 싶은 작품이다,9,positive,Public review example snapshot
인턴,2015,예상 가능한 전개가 많아 후반부 긴장감은 부족했다,3,negative,Public review example snapshot
인턴,2015,가볍지만 메시지가 선명하고 배우들의 호흡이 좋았다,8,positive,Public review example snapshot
택시운전사,2017,역사의 무게를 대중 영화 안에 자연스럽게 담아낸 힘이 있다,10,positive,Mendeley movie list based sample
택시운전사,2017,송강호의 감정 연기가 장면마다 몰입을 만들어냈다,10,positive,Mendeley movie list based sample
택시운전사,2017,몇몇 장면은 설명이 직접적이라 영화적 여백이 줄어든다,4,negative,Mendeley movie list based sample
택시운전사,2017,웃음과 슬픔이 함께 있어 마지막까지 마음이 흔들렸다,9,positive,Mendeley movie list based sample
택시운전사,2017,실화의 힘은 크지만 일부 캐릭터는 단순하게 소비된 느낌이다,3,negative,Mendeley movie list based sample
택시운전사,2017,관객이 역사를 다시 생각하게 만드는 좋은 상업영화다,9,positive,Mendeley movie list based sample
범죄도시,2017,마동석 액션의 타격감과 캐릭터성이 확실해서 장르 쾌감이 크다,9,positive,Mendeley movie list based sample
범죄도시,2017,악역의 존재감이 강하고 전개가 빠르다,8,positive,Mendeley movie list based sample
범죄도시,2017,폭력 장면이 반복되면서 중반 이후 피로감이 있었다,3,negative,Mendeley movie list based sample
범죄도시,2017,대사가 쉽고 캐릭터가 선명해서 몰입하기 좋았다,8,positive,Mendeley movie list based sample
범죄도시,2017,이야기 구조는 단순해서 새로움은 부족했다,4,negative,Mendeley movie list based sample
범죄도시,2017,오락 영화로서 속도와 유머가 살아 있다,9,positive,Mendeley movie list based sample
암살,2015,시대극의 규모와 인물들의 긴장감이 잘 맞물린 작품이다,9,positive,Mendeley movie list based sample
암살,2015,배우들의 앙상블이 좋고 장면마다 목적이 뚜렷하다,9,positive,Mendeley movie list based sample
암살,2015,등장인물이 많아 초반에는 감정선을 따라가기 어렵다,4,negative,Mendeley movie list based sample
암살,2015,액션과 역사적 정서가 균형 있게 섞여 몰입도가 높다,10,positive,Mendeley movie list based sample
암살,2015,후반부가 조금 길게 느껴져 집중이 흐려졌다,3,negative,Mendeley movie list based sample
암살,2015,오락성과 메시지를 동시에 잡으려는 에너지가 인상적이다,9,positive,Mendeley movie list based sample
